country,code,courses,college,city,type
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Government Medical College, Vikarabad",Vikarabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Government Medical College, Vizianagaram",Vizianagaram,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Government Medical College, Washim",Washim,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Government Medical College, Yadadri",Hyderabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Sivagangai Medical College,Sivagangai,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Thiruvannamalai Medical College,Thiruvannamalai,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Thiruvarur Medical College and Hospital,Thiruvarur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Government Villupuram Medical College,Villupuram,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Grant Government Medical College, Mumbai",Mumbai,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Graphic Era Institute of Medical Sciences,Dehradun,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Great Eastern Medical School and Hospital,Srikakulam,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Gujarat Adani Institute of Medical Sciences,Bhuj,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Gulbarga Institute of Medical Sciences,Kalaburagi,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Guntur Medical College,Guntur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Guru Gobind Singh Medical College,Faridkot,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,H.B.T. Medical College & Dr. R.N. Cooper Municipal General Hospital,Mumbai,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Hamdard Institute of Medical Sciences & Research, New Delhi",New Delhi,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Hassan Institute of Medical Sciences,Hassan,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Haveri Institute of Medical Sciences,Haveri,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Hemwati Nandan Bahuguna Garhwal University,Srinagar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Heritage Institute of Medical Sciences, Varanasi",Varanasi,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Hi-Tech Medical College and Hospital, Bhubaneswar",Bhubaneswar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,J R Medical College and Hospital,Villupuram,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"J.J.M. Medical College, Davangere",Davangere,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,J.S.S. Medical College,Mysore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College (JGMMMC),Hubballi,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Jagannath Gupta Institute of Medical Sciences & Hospital,Kolkata,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Jaipur National University Institute for Medical Sciences and Research Centre,Jaipur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Jakir Hossain Medical College and Research Institute,Murshidabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Jalpaiguri Government Medical College & Hospital,Jalpaiguri,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Jannayak Karpoori Thakur Medical College and Hospital Madhepura,Madhepura,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Jawaharlal Institute of Post-Graduate Medical Education and Research (JIPMER),Pondicherry,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Jawaharlal Nehru Institute of Medical Sciences, Porompat",Porompat,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Jawaharlal Nehru Medical College, Ajmer",Ajmer,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Jawaharlal Nehru Medical College, Aligarh",Aligarh,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Jawaharlal Nehru Medical College, Belgaum",Belgaum,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Jawaharlal Nehru Medical College, Bhagalpur",Bhagalpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Jawaharlal Nehru Medical College, Wardha",Wardha,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Jehlum Valley College of Medical Sciences,Srinagar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Jhalawar Medical College,Jhalawar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Jhargram Government Medical College and Hospital,Jhargram,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,JIET Medical College And Hospital,Jodhpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"JIS School of Medical Science & Research, Howrah",Howrah,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,JMF's A.C.P.M. Medical College,Dhule,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Jorhat Medical College and Hospital,Jorhat,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Jubilee Mission Medical College and Research Institute,Thrissur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,K.A.P. Viswanatham Government Medical College,Tiruchirappalli,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,K.D. Medical College Hospital & Research Centre,Mathura,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,K.J. Somaiya Medical College,Mumbai,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,K.M.C.H. Institute of Health Sciences and Research,Coimbatore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,K.M.C.T. Medical College,Kozhikode,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,K.P.C. Medical College and Hospital,Kolkata,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,K.S. Hegde Medical Academy,Mangalore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,K.V.G. Medical College,Sullia,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Kakatiya Medical College,Warangal,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Kalinga Institute of Medical Sciences,Bhubaneswar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Kalpana Chawla Government Medical College, Karnal",Karnal,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Kalyan Singh Government Medical College, Hospital and Kasturba Mahila Chikitsalaya",Bulandshahr,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Kamineni Academy of Medical Sciences & Research Center,Hyderabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Kamineni Institute of Medical Sciences,Narketpally,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Kanachur Institute of Medical Sciences,Mangalore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Kannur Medical College,Kannur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Kanyakumari Government Medical College,Kanyakumari,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Kanyakumari Medical Mission Research Centre,Kanyakumari,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Karnataka Institute of Medical Sciences,Hubballi,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Karpaga Vinayaga Institute of Medical Sciences,Maduranthagam,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Karpagam Faculty of Medical Sciences and Research,Coimbatore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Karuna Medical College,Palakkad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Karwar Institute of Medical Sciences,Karwar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Kasturba Medical College Mangalore,Mangalore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Kasturba Medical College Manipal,Manipal,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Katihar Medical College,Katihar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Katuri Medical College, Guntur",Guntur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Kempegowda Institute of Medical Sciences,Bangalore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Kesarsal Medical College and Research Institute,Ahmedabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Khaja Bandanawaz University Faculty of Medical Sciences,Gulbarga,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,King George's Medical University,Lucknow,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Kiran Medical College, Surat",Surat,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,KMC Medical College & Hospital,Maharajganj,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Kodagu Institute of Medical Sciences,Madikeri,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Kokrajhar Medical College,Kokrajhar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Kolkata Medical College & Hospital,Kolkata,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Konaseema Institute of Medical Sciences & Research Foundation,Amalapuram,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Koppal Institute of Medical Sciences,Koppal,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Krishna Mohan Medical College and Hospital,Mathura,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Krishna Vishwa Vidyapeeth Faculty of Medical Sciences,Karad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Krishnanagar Institute of Medical Sciences,Krishnanagar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Kurnool Medical College,Kurnool,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,L.N. Medical College and Research Centre,Bhopal,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Lady Hardinge Medical College,New Delhi,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Lakhimpur Medical College,Chowkham,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Lala Lajpat Rai Memorial Medical College,Meerut,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Late Baliram Kashyap Memorial Government Medical College,Jagdalpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Late Shri Lakhi Ram Agrawal Memorial Government Medical College,Raigarh,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Laxmi Chandravansi Medical College and Hospital,Bishrampur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,LNCT Medical College and Sewakunj Hospital,Indore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Lokmanya Tilak Municipal Medical College,Mumbai,university
