country,code,courses,college,city,type
Armenia,AM,AMC|PLAB|FMGE/NExT|NEET PG,University of Gyumri Faculty of Medicine,Gyumri,university
Armenia,AM,AMC|PLAB|FMGE/NExT|NEET PG,Armenian Medical Institute Faculty of Medicine,Yerevan,university
Armenia,AM,AMC|PLAB|FMGE/NExT|NEET PG,Armenian-Russian International University 'Mkhitar Gosh',Yerevan,university
Armenia,AM,AMC|PLAB|FMGE/NExT|NEET PG,Erebuni Medical Academy Foundation,Yerevan,university
Armenia,AM,AMC|PLAB|FMGE/NExT|NEET PG,St. Tereza Medical University,Yerevan,university
Armenia,AM,AMC|PLAB|FMGE/NExT|NEET PG,Yerevan Gladzor University Faculty of Medicine,Yerevan,university
Armenia,AM,AMC|PLAB|FMGE/NExT|NEET PG,Yerevan Haybusak University Faculty of Medicine,Yerevan,university
Armenia,AM,AMC|PLAB|FMGE/NExT|NEET PG,Yerevan State Medical University Named for Mkhitar Heratsi,Yerevan,university
Armenia,AM,AMC|PLAB|FMGE/NExT|NEET PG,Yerevan University of Traditional Medicine,Yerevan,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Abdul Malek Ukil Medical College,Noakhali,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Ad-din Akij Medical College (AAMC),Khulna,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Ad-din Sakina Women’s Medical College,Jashore,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Ad-din Women's Medical College,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Aichi Medical College,Demra,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Anwer Khan Modern Medical College,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Armed Forces Medical College (AFMC),Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Army Medical College Bogura,Bogura,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Army Medical College Chattogram,Chittagong,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Army Medical College Cumilla,Cumilla,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Army Medical College Jashore,Jessore,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Army Medical College Rangpur,Rangpur,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Ashiyan Medical College,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,B.G.C. Trust Medical College,Chittagong,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Bangladesh Medical College (BMSRI),Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Bangladesh Medical University,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Barind Medical College and Hospital,Rajshahi,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Bashundhara Ad-din Medical College,Keraniganj,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Bikrampur Bhuiyan Medical College,Damla,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Brahmanbaria Medical College,Brahmanbaria,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Pabna Medical College,Pabna,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Southern Medical College & Hospital,Chittagong,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,CARe Medical College,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,"Central Medical College, Comilla",Comilla,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Chattagram International Medical College and Hospital,Chittagong,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Chattagram Maa-O-Shishu Hospital Medical College,Chittagong,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Chittagong Medical College and Hospital,Chittagong,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,"City Medical College, Gazipur",Gazipur,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Comilla Medical College & Hospital,Comilla,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,"Community Based Medical College, Bangladesh (CBMCB)",Mymensingh,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Cox's Bazar Medical College,Cox's Bazar,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Delta Medical College,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Dhaka Central International Medical College and Hospital,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Dhaka Community Medical College,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Dhaka Medical College and Hospital,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Dhaka National Medical College & Hospital,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Diabetic Association Medical College,Faridpur,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Dinajpur Medical College,Dinajpur,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Dr. Sirajul Islam Medical College and Hospital,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,East West Medical College,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,"Eastern Medical College, Comilla",Comilla,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Enam Medical College and Hospital,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Faridpur Medical College,Faridpur,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Gazi Medical College,Khulna,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Gonoshasthaya Samaj Vittik Medical College,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Gopalgonj Medical College,Gopalganj,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Green Life Medical College and Hospital,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,"Habiganj Medical College, Habiganj",Habiganj,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Holy Family Red Crescent Medical College,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Ibn Sina Medical College,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Ibrahim Medical College,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Institute of Applied Health Sciences (IAHS),Chittagong,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,International Medical College,Gazipur,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Islami Bank Medical College,Rajshahi,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Jahurul Islam Medical College & Hospital,Kishoreganj,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Jalalabad Ragib-Rabeya Medical College,Sylhet,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Jamalpur Medical College,Jamalpur,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Jashore Medical College,Jashore,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Khulna City Medical College,Khulna,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Khulna Medical College,Khulna,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Khwaja Yunus Ali Medical College,Sirajgonj,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Kumudini Women's Medical College,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Kushtia Medical College,Kushtia,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,M.H. Samorita Hospital and Medical College,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Magura Medical College,Magura,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Mainamoti Medical College,Comilla,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Manikganj Medical College,Manikganj,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Marine City Medical College & Hospital,Chittagong,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Marks Medical College and Hospital,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Medical College for Women & Hospital,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Monno Medical College,Monno City,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Monowara Sikder Medical College,Bhedergonj,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Mugda Medical College and Hospital,Dhaka,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Mymensingh Medical College,Mymensingh,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Naogaon Medical College,Naogaon,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Netrokona Medical College,Netrokona,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,Nilphamari Medical College,Nilphamari,university
Bangladesh,BD,AMC|PLAB|FMGE/NExT|NEET PG,North Bengal Medical College,Sirajgonj,university
