country,code,courses,college,city,type
Kazakhstan,KZ,AMC|PLAB|FMGE/NExT|NEET PG,Karaganda Medical University,Karaganda,university
Kazakhstan,KZ,AMC|PLAB|FMGE/NExT|NEET PG,Kazakh Medical University of Continuing Education Medical College,Almaty,university
Kazakhstan,KZ,AMC|PLAB|FMGE/NExT|NEET PG,Kazakh-Russian Medical University,Almaty,university
Kazakhstan,KZ,AMC|PLAB|FMGE/NExT|NEET PG,"Kokshetau University named after Sh. Ualikhanov, Higher School of Medicine",Kokshetau,university
Kazakhstan,KZ,AMC|PLAB|FMGE/NExT|NEET PG,Nazarbayev University School of Medicine,Astana,university
Kazakhstan,KZ,AMC|PLAB|FMGE/NExT|NEET PG,NJSC Astana Medical University,Astana,university
Kazakhstan,KZ,AMC|PLAB|FMGE/NExT|NEET PG,North Kazakhstan State University named after M. Kozybayev Faculty of Medicine,Petropavlovsk,university
Kazakhstan,KZ,AMC|PLAB|FMGE/NExT|NEET PG,Semey Medical University,Semey,university
Kazakhstan,KZ,AMC|PLAB|FMGE/NExT|NEET PG,South Kazakhstan Medical Academy,Shymkent,university
Kazakhstan,KZ,AMC|PLAB|FMGE/NExT|NEET PG,West Kazakhstan Marat Ospanov Medical University,Aktobe,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Adam University School of Medicine,Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Ala-Too International University,Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Altamimi International University,Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Asian International University named after Satkynbai Tentishev,Kant,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Avicenna International Medical University,Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Bishkek International Medical Institute (BIMI),Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Central Asian International Medical University (CAIMU),Jalal-Abad,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Eurasian International University Faculty of Medicine,Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,I.K. Akhunbaev Kyrgyz State Medical Academy,Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,International European University Faculty of Medicine,Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,International Higher School of Medicine,Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,"International Medical Institute, International University of Science & Business",Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,International Medical University,Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,"International School of Medicine, International University of Kyrgyzstan",Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,International University of Science and Medicine (IUSM),Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Jalal-Abad International University Medical Faculty,Jalal-Abad,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Jalal-Abad People's Friendship University A. Batirov Medical Faculty,Jalal-Abad,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Jalal-Abad State University Medical Faculty,Jalal-Abad,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Kasym Tynystanov Issyk Kul State University,Karakol City,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Kyrgyz International University NRZ,Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Kyrgyz Medical and Dental Institute,Kara-Balta,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Kyrgyz National Agrarian University named after K.I. Scriabin,Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Kyrgyz National University named after Jusup Balasagyn,Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Kyrgyz State University named after I. Arabaev,Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Kyrgyz-Russian Slavic University (KRSU) named after B. N. Yelstin Medical Faculty,Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Kyrgyz-Uzbek University Medical Faculty,Osh,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Naryn State University,Naryn,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Osh International Medical University,Osh,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Osh State University Medical Faculty,Osh,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Royal Metropolitan University,Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,Salymbekov University Faculty of Medicine,Bishkek,university
Kyrgyzstan,KG,AMC|PLAB|FMGE/NExT|NEET PG,University of South Asia,Tokmok,university
Macau,MO,AMC|PLAB|FMGE/NExT|NEET PG,Macau University of Science and Technology Faculty of Medicine,Taipa,university
Mauritius,MU,AMC|PLAB|FMGE/NExT|NEET PG,Anna Medical College,Montagne Blanche,university
Mauritius,MU,AMC|PLAB|FMGE/NExT|NEET PG,"Padmashree Dr. D.Y. Patil Medical College, University of Technology Mauritius",Ebene Cybercity,university
Mauritius,MU,AMC|PLAB|FMGE/NExT|NEET PG,SSR Medical College,Belle Rive,university
Mauritius,MU,AMC|PLAB|FMGE/NExT|NEET PG,"University of Mauritius Faculty of Medicine and Health Sciences, Department of Medicine",Réduit,university
Nepal,NP,AMC|PLAB|FMGE/NExT|NEET PG,B.P. Koirala Institute of Health Sciences,Dharan,university
Nepal,NP,AMC|PLAB|FMGE/NExT|NEET PG,Birat Medical College,Biratnagar,university
Nepal,NP,AMC|PLAB|FMGE/NExT|NEET PG,Chitwan Medical College,Bharatpur,university
Nepal,NP,AMC|PLAB|FMGE/NExT|NEET PG,"College of Medical Sciences, Bharatpur",Bharatpur,university
Nepal,NP,AMC|PLAB|FMGE/NExT|NEET PG,Devdaha Medical College,Devdaha,university
